IMF,amount,MAPE,MAE,MSE,RMSE,DTW
2_3_residue,7,6.76,233.28,107033.17,327.16,36280.93301106207
2_3_residue,8,6.51,227.23,98988.28,314.62,35306.30432695564
2_3_residue,9,5.39,188.42,67683.08,260.16,29511.56623314628
2_3_residue,10,5.08,181.39,66443.83,257.77,27694.20303594178
2_3_residue,11,4.81,170.11,58559.11,241.99,25390.91277410032
2_3_residue,12,4.8,173.73,60884.2,246.75,24256.83680944445
2_3_residue,13,4.66,165.05,58213.88,241.28,22560.687019735407
2_3_residue,14,4.47,159.77,51577.87,227.11,22212.25510242976
2_3_residue,15,4.58,162.17,54161.15,232.73,22368.930191919768
2_3_residue,18,4.33,154.05,49033.13,221.43,20581.010103695426
2_3_residue,19,4.22,152.24,48697.96,220.68,19998.94407512605
2_3_residue,20,4.21,150.52,49326.49,222.1,19815.28995404533
2_3_residue,21,4.01,145.47,46942.74,216.66,18551.42254714163
2_3_residue,22,4.08,150.2,48963.07,221.28,20191.59910493549
2_3_residue,23,3.95,146.7,48770.0,220.84,19486.30302366339
2_3_residue,24,4.2,152.43,48877.98,221.08,20633.48442008533
2_3_residue,25,4.08,147.92,47225.06,217.31,20100.29918900572
2_3_residue,26,4.06,149.84,47819.81,218.68,20027.03257098959
2_3_residue,27,4.07,147.82,48525.77,220.29,19982.96207820412
2_3_residue,28,4.05,150.61,48483.99,220.19,19798.07198502043
2_3_residue,29,4.0,143.71,43224.54,207.91,20425.687664008903
2_3_residue,30,4.12,150.26,47910.93,218.89,19734.999303413817
2_3_residue,31,3.89,142.68,44231.15,210.31,20517.90402582933
2_3_residue,32,4.0,149.91,48713.03,220.71,19131.696612989595
2_3_residue,33,4.18,154.05,50946.27,225.71,20032.87426097008
2_3_residue,34,3.84,140.46,42623.5,206.45,18746.90196604549
2_3_residue,35,3.91,143.22,44649.18,211.3,19535.782726272977
2_3_residue,36,4.11,149.83,48905.78,221.15,19228.05194250833
2_3_residue,37,3.89,145.64,47577.83,218.12,18900.35810066885
2_3_residue,38,3.81,139.73,41463.51,203.63,19593.1113422853
2_3_residue,39,4.01,148.87,49828.23,223.22,19618.24455760705
2_3_residue,40,3.84,142.31,45749.1,213.89,19925.314328749544
2_3_residue,41,3.87,142.41,46498.67,215.64,18332.431895521026
2_3_residue,42,3.96,148.04,49803.95,223.17,20020.883478057185
2_3_residue,43,3.78,140.67,44717.41,211.46,18856.168256548583
2_3_residue,44,3.8,138.12,43457.65,208.46,18574.69125070405
2_3_residue,45,3.87,143.53,46514.79,215.67,19978.73208451143
2_3_residue,46,3.78,139.56,41708.56,204.23,20110.31486157673
2_3_residue,47,3.69,137.33,43963.12,209.67,18800.94296934637
2_3_residue,48,3.61,133.76,39938.86,199.85,18483.816650487715
2_3_residue,49,3.91,143.5,45178.76,212.55,19111.418470143424
2_3_residue,50,3.75,137.78,44310.72,210.5,19493.42537407298
2_3_residue,51,3.64,136.68,41644.07,204.07,19335.841632488453
2_3_residue,52,3.64,134.05,38670.67,196.65,18455.045856919125
2_3_residue,53,3.76,138.57,41035.18,202.57,18963.16108972177
2_3_residue,54,3.67,137.7,39730.41,199.32,20484.007427135
2_3_residue,55,3.65,136.89,44772.92,211.6,18216.49740443832
2_3_residue,56,3.48,127.07,36200.53,190.26,18894.83616405024
2_3_residue,57,3.51,127.27,39842.04,199.6,16972.353589937644
2_3_residue,58,3.65,134.85,40549.23,201.37,18601.491780232434
2_3_residue,59,3.61,130.29,36724.15,191.64,17934.367926498875
2_3_residue,60,3.36,125.97,38519.62,196.26,17945.446904382996
2_3_residue,61,3.58,130.98,36014.35,189.77,19241.06238344549
2_3_residue,62,3.39,126.67,37092.67,192.59,18149.32902905862
2_3_residue,63,3.11,109.93,29725.93,172.41,16271.183441620731
2_3_residue,64,3.59,132.54,39434.46,198.58,18698.3769546189
2_3_residue,65,3.4,124.11,34260.89,185.1,18651.62834205608
2_3_residue,66,3.27,124.91,37413.98,193.43,18917.95440688581
2_3_residue,67,3.21,112.34,30141.8,173.61,15734.57443192176
2_3_residue,68,3.21,119.32,36118.21,190.05,18247.31927866859
2_3_residue,69,3.28,121.8,37278.95,193.08,17575.76913869319
2_3_residue,70,3.38,128.21,40402.55,201.0,17145.457639551252
