IMF,amount,MAPE,MAE,MSE,RMSE,DTW
2+3+residue,146,0.64,27.27,1705.9,41.3,5591.224707466026
2+3+residue,147,0.66,28.23,1707.14,41.32,6116.587467106594
2+3+residue,148,0.63,26.01,1643.73,40.54,5353.576132487215
2+3+residue,149,0.64,26.96,1642.79,40.53,5671.402639416345
2+3+residue,150,0.66,27.58,1741.87,41.74,6050.015474881933
2+3+residue,151,0.63,26.49,1505.26,38.8,6002.690912097358
2+3+residue,3,3.03,128.05,27737.97,166.55,35193.88851721068
2+3+residue,4,2.39,101.61,17198.25,131.14,27482.022968213565
2+3+residue,5,2.06,86.49,11931.23,109.23,23411.677092618065
2+3+residue,6,1.76,75.5,10114.68,100.57,19397.62210035032
2+3+residue,7,1.68,71.5,8379.15,91.54,18273.653328170403
2+3+residue,8,1.57,66.79,7456.87,86.35,16940.795854616925
2+3+residue,9,1.38,58.49,5657.82,75.22,14419.015913782496
2+3+residue,10,1.33,56.43,5375.2,73.32,13772.446618394972
2+3+residue,11,1.29,54.14,4942.48,70.3,12431.763241161858
2+3+residue,12,1.18,49.98,4293.14,65.52,11321.484311143751
2+3+residue,13,1.25,52.66,4749.56,68.92,10998.053642571766
2+3+residue,14,1.22,51.57,4515.54,67.2,10224.736003659396
2+3+residue,15,1.22,51.25,4166.02,64.54,10486.303208342655
2+3+residue,16,1.17,49.4,4154.82,64.46,9482.171737531466
2+3+residue,17,1.18,49.94,4222.11,64.98,9854.56059959991
2+3+residue,18,1.13,47.96,3925.45,62.65,9303.898464483844
2+3+residue,19,1.17,49.36,3882.78,62.31,9708.494823356235
2+3+residue,20,1.11,47.06,3936.21,62.74,8557.466220348972
2+3+residue,21,1.11,47.35,3904.09,62.48,8610.363709301362
2+3+residue,22,1.12,47.04,3708.89,60.9,9504.958943650065
2+3+residue,23,1.13,47.56,3749.11,61.23,8848.233076006356
2+3+residue,24,1.1,46.47,3800.12,61.65,9107.021967241351
2+3+residue,25,1.09,45.95,3570.91,59.76,8858.76762986949
2+3+residue,26,1.09,46.07,3423.93,58.51,8612.45727107506
2+3+residue,27,1.06,44.76,3474.54,58.95,8750.985518886213
2+3+residue,28,1.09,45.94,3409.35,58.39,8431.143862124858
2+3+residue,29,1.08,45.54,3344.89,57.84,8429.913807505813
2+3+residue,30,1.06,44.96,3395.61,58.27,8255.330281154562
2+3+residue,31,1.07,45.08,3361.05,57.97,8462.431147828467
2+3+residue,32,1.06,44.84,3364.81,58.01,8153.765590572624
2+3+residue,33,1.09,45.97,3339.03,57.78,8714.478154529874
2+3+residue,34,1.06,44.84,3165.33,56.26,8454.818202756202
2+3+residue,35,1.09,45.95,3473.58,58.94,8253.662044884308
2+3+residue,36,1.03,43.37,3083.21,55.53,8132.120185320247
2+3+residue,37,1.05,44.31,3232.73,56.86,8266.185455485824
2+3+residue,38,1.04,43.65,3162.58,56.24,8237.350887599721
2+3+residue,39,1.08,45.29,3276.79,57.24,8765.592087255702
2+3+residue,40,1.03,43.26,3098.18,55.66,7519.678250820159
2+3+residue,41,1.02,43.08,3015.46,54.91,7982.864056061213
2+3+residue,42,1.0,42.12,3025.07,55.0,7653.292756413737
2+3+residue,43,1.02,43.17,3046.92,55.2,7873.6567951944835
2+3+residue,44,1.02,43.24,3061.12,55.33,7984.572403534545
2+3+residue,45,1.01,42.76,2981.48,54.6,7987.502374849832
2+3+residue,46,1.0,42.25,2952.82,54.34,7881.976384889149
2+3+residue,47,0.99,41.93,2870.5,53.58,7891.70001980007
2+3+residue,48,0.97,40.89,2898.76,53.84,7864.4156069150995
2+3+residue,49,1.01,42.4,2952.87,54.34,7986.194530543205
2+3+residue,50,1.02,42.7,2924.14,54.08,7804.384272793315
2+3+residue,51,1.04,43.36,3085.66,55.55,8324.579968904682
2+3+residue,52,1.01,42.39,3150.04,56.13,7653.145844782535
2+3+residue,53,0.99,41.99,2977.06,54.56,7549.759218487517
2+3+residue,54,1.0,41.77,2894.37,53.8,7952.928324611012
2+3+residue,55,1.02,42.98,3000.83,54.78,7832.125253378426
2+3+residue,56,0.97,41.08,2792.74,52.85,7543.198341538191
2+3+residue,57,0.95,40.04,2606.84,51.06,7859.970963746957
2+3+residue,58,0.99,41.94,2950.43,54.32,7395.481027457636
